px,py,pz,qw,qx,qy,qz
0.0,0.0,1.1,0.8638684255813601,0.259160527674408,0.0,0.43193421279068
0.02,0.02,1.1090190000000306,0.8610467649917035,0.2591211014027688,0.004122968585437454,0.4375359693044467
0.04,0.04,1.1170570000000917,0.8581868528698142,0.2590345382736169,0.008265185157841567,0.4431118597567489
0.060000000000000005,0.060000000000000005,1.124114000000183,0.8552888511982022,0.25890041841271844,0.012426257312578223,0.44866150101271296
0.08,0.08,1.130190000000305,0.8523529247962135,0.25871832394964905,0.016605784209394386,0.45418450917530884
0.09999999999999999,0.09999999999999999,1.1352850000004573,0.8493792413558517,0.2584878391690944,0.020803356496822904,0.45968049960153473
0.11999999999999998,0.11999999999999998,1.1393990000006402,0.8463679714783017,0.25820855066563003,0.025018556238072715,0.46514908692012086
0.13999999999999999,0.13999999999999999,1.1425320000008534,0.8433192887111417,0.25788004750199817,0.029250956838510384,0.4705898850508082
0.16,0.16,1.1446840000010972,0.8402333695862315,0.2575019213708988,0.033500122974842166,0.4760025072252594
0.18000000000000002,0.18000000000000002,1.1458550000013714,0.8371103936582585,0.2570737667603084,0.037765610526109085,0.48138656600965946
0.20000000000000004,0.20000000000000004,1.1460450000016762,0.8339505435439264,0.25659518112233676,0.04204696650660944,0.4867416733290634
0.22000000000000006,0.22000000000000006,1.1452540000020113,0.8307540049617675,0.2560657650456297,0.0463437290008676,0.49206744049355045
0.24000000000000007,0.24000000000000007,1.1434820000023769,0.8275209667725559,0.25548512243132154,0.05065542710076899,0.4973634782262422
0.26000000000000006,0.26000000000000006,1.140729000002773,0.8242516210203019,0.25485286067253793,0.0549815808449862,0.5026293966932445
0.2800000000000001,0.2800000000000001,1.1369950000031996,0.8209461629738019,0.25416859083744714,0.05932170116082152,0.5078648055355724
0.3000000000000001,0.3000000000000001,1.1322800000036566,0.817604791168718,0.25343192785585184,0.06367528980859659,0.5130693139031169
0.3200000000000001,0.3200000000000001,1.126584000004144,0.8142277074501597,0.2526424907093115,0.06804183932872025,0.5182425304907132
0.34000000000000014,0.34000000000000014,1.119907000004662,0.8108151170157379,0.25179990262478036,0.07242083299157029,0.5233840635763706
0.36000000000000015,0.36000000000000015,1.1122490000052105,0.8073672284590591,0.250903791271742,0.07681174475032591,0.5284935210617209
